,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Wind (onshore),21.048870153379266,21.3120164888772,18.954005726637508,20.13620782474572,18.10137269545978,18.46744403632845,18.63284844504761,18.040635766299747,21.53211,15.167273207666984,21.34753693131705,14.08333342743137,20.20282979316285,17.41155393961121,19.02176186078744,18.79231888123764,14.870275856420344,13.421322826312895,17.721408835624054,21.53211,19.637766025936354,19.54551594165949,17.909976884737112,15.349389823616889,14.33690922359969,16.153423316448773,14.33555723637889,19.360062995105963,18.01832901796296,15.48981768483317,17.01198891152816,15.755667777484897,16.077640746142574,17.313896605570324,16.946686513036912,16.461953356527573,16.61304303449538,18.15539429636179,16.24737884041756,19.410102549429777
Wind (offshore),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Open field PV,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001,7.080524229504001
RoofTop PV,7.621540548499148,8.546661683406553,9.662742614488826,7.310709170407821,10.48702557856782,9.745918135551062,8.492596344274586,11.386633606079403,6.325711355160617,11.386633606079403,5.866059661933823,11.386633606079403,8.163775366087341,8.31720612948,7.421483076121103,7.866524802962905,11.386633606079403,11.386633606079403,8.085084580073321,6.217979869709995,7.356820252237316,9.363750746291975,8.644739787132318,9.61342057241325,11.124286707954743,9.979705464007743,11.386633606079403,6.803764744144154,9.180664815063492,11.386633606079403,11.386633606079403,8.980976459008847,10.209413799279858,11.386633606079403,10.916339759963348,9.28477747417226,11.386633606079403,9.357703493037366,9.363156143180538,7.923651698830986
Li-ion batteries,7.884645786274182,7.136001409275901,7.886426951357616,7.398110431551802,8.535107752417833,8.305839862188249,8.60859575914426,8.096604142350715,7.690060465133423,8.515064495264204,6.516327277004311,8.83214238549163,8.325332493623135,7.770589315967902,7.300274205721665,8.253422809534877,9.02722599798421,9.208931926680735,8.885391403046134,6.790429821279284,7.184222002957391,7.663692095440255,8.112041007730468,8.450452754329822,8.508815700263717,8.849757152237002,9.27978814992878,7.476419645063845,7.336761932537566,8.376945550775869,9.442759035608631,9.85137262661968,10.754563035562748,7.878846955931315,8.425463723216854,7.729222313411339,8.368164509671486,9.006631974063877,9.720795428700749,7.182238667920863
Electrolyzer,4.0888883173797765,4.45871229854994,5.095938301794672,3.7864893938062334,4.875509976835333,4.96500033979136,3.7813206324413207,6.0035503594968365,3.800080180614695,5.149227119601916,4.193902766165127,5.410672831961736,4.435225333524399,4.189750691459768,4.514845654386068,4.029446855891519,6.09465024570319,5.84922124453772,3.838484076491778,3.805853209503114,4.219304283839836,4.787916388449004,4.59260260044728,5.391313686180172,5.923177262446158,4.958865501041264,4.764284377751114,4.16936732605631,5.02523727484173,6.342201643478628,5.479115364968807,4.130920681284701,3.9658876111425054,5.959785241678648,5.220126954718161,5.049707336957014,5.412821971753699,3.997222793151956,4.422378454808805,4.632358793200955
CCGT hydrogen gas,5.376416366413856,4.380928967948375,5.71947482203625,6.837716266211786,5.7676551769097255,6.347477911816828,5.645612392539935,6.254218535990691,5.38510725136092,5.919523383644007,5.202453253954383,5.825387903781288,6.040576314243043,7.02760636015533,7.553857603861112,5.311124423131176,6.600443789399365,5.800988373701967,5.249212562656796,6.809576861063406,4.9891562222150485,6.564660493836078,5.469733298107579,6.593342110328938,5.778190887868281,5.606605638756959,5.705243114209988,6.921053527481948,6.524901035443889,7.207051148961727,5.806062454063572,4.893588143415892,5.2549291347948985,6.237852710494462,5.652012598245146,5.7019003885576,5.921021602162128,5.861047449110932,6.003259850899418,6.8440566908169576
Salt caverns (hydrogen),2.112810948243945,2.0254894199044355,2.4143396077596035,1.835036083611468,2.238042489065049,2.52939056166243,1.8664941947155869,2.8033052998972097,1.918503488825404,2.43139784300508,1.8892026134406064,2.484352977559946,2.321518994163761,1.9670721253886465,2.148425559732338,2.239419043219252,2.7078596950960137,2.87338856966681,2.148579994725894,1.69183597174232,1.8744094621201848,2.2663120838398694,2.197055928063888,2.6082238966248714,2.7924714468056697,2.4649324847380334,2.5011122040544747,2.0652347254606807,2.283488545198917,2.9418206200804726,2.9109807503347414,2.465946725563954,2.443562591571668,2.59247115458396,2.443389625477397,2.282381323039893,2.475605913473072,2.282305827053132,2.4897531976676945,2.173694057177607
